"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT0","CR1225","","footprints:Keystone 110 and 112 for CR20xx","1",""
"C1","220uF","","Capacitor_SMD:C_1206_3216Metric","1",""
"C2,C3","0.1u","","Capacitor_SMD:C_0805_2012Metric","2",""
"D1","LED","","LED_SMD:LED_1206_3216Metric","1",""
"Q1","IRLML2244TRPBF","https://www.infineon.com/dgdl/irlml2244pbf.pdf?fileId=5546d462533600a401535664bfff25f0","Package_TO_SOT_SMD:SOT-23","1",""
"R1,R2,R9","4.7K","","Resistor_SMD:R_0805_2012Metric","3",""
"R3,R6,R7","100K","","Resistor_SMD:R_0805_2012Metric","3",""
"R4","330K","","Resistor_SMD:R_0805_2012Metric","1",""
"R5,R8","100","","Resistor_SMD:R_0805_2012Metric","2",""
"SW1","Control","","footprints:B3U-1000P","1",""
"U1","HDC2080","http://www.ti.com/lit/ds/symlink/hdc2080.pdf","Sensor_Humidity:Texas_S-PWSON-N6-HDC2080","1",""
"U2","RV-3028-C7","https://www.microcrystal.com/fileadmin/Media/Products/RTC/Datasheet/RV-3028-C7.pdf","Package_SON:MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm","1",""
"U3","NORA B206","","footprints:NORA-B2x6","1",""
"Y1","32768","","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","1",""
